
      +------------------+
      |   id          x1 |
  85. |   85    .1403725 |
      |------------------|
  86. |   86   -.9984499 |
  87. |   87   -1.291706 |
  88. |   88    1.705364 |
  89. |   89   -.3663575 |
  90. |   90    1.368091 |
      |------------------|
  91. |   91   -.5294532 |
  92. |   92   -1.121993 |
  93. |   93   -.2736341 |
  94. |   94    .3632325 |
  95. |   95    .3122114 |
      |------------------|
  96. |   96   -.6627333 |
  97. |   97   -.1025308 |
  98. |   98    -.760644 |
  99. |   99   -.5178247 |
 100. |  100    .3475243 |
      |------------------|
 101. |  101    2.080849 |
 102. |  102   -.6577222 |
 103. |  103   -.0038635 |
 104. |  104   -.3360559 |
 105. |  105   -2.260383 |
      |------------------|
 106. |  106   -.0455438 |
 107. |  107    .4389435 |
 108. |  108   -1.039081 |
 109. |  109   -.6975756 |
 110. |  110    1.686082 |
      |------------------|
 111. |  111    .0396736 |
 112. |  112    .6678256 |
 113. |  113   -1.162821 |
 114. |  114   -1.585099 |
 115. |  115   -.0959236 |
      |------------------|
 116. |  116    1.384397 |
 117. |  117    .1471388 |
 118. |  118   -1.435165 |
 119. |  119    1.673544 |
 120. |  120    1.122716 |
      |------------------|
 121. |  121   -.6530445 |
 122. |  122   -.2852106 |
 123. |  123   -.1370679 |
 124. |  124     1.22838 |
 125. |  125    1.408024 |
      |------------------|
 126. |  126   -1.228262 |
 127. |  127    .2137686 |
 128. |  128    .9158241 |
 129. |  129   -.4988582 |
 130. |  130    .6740854 |
      |------------------|
 131. |  131    .1856844 |
 132. |  132    .6255603 |
 133. |  133    -.655491 |
 134. |  134   -.2095753 |
 135. |  135   -.7241676 |
      |------------------|
 136. |  136     1.12234 |
 137. |  137    .4568345 |
 138. |  138   -1.319458 |
 139. |  139    .8044527 |
 140. |  140     .871748 |
      |------------------|
 141. |  141   -.4861534 |
 142. |  142    .0418676 |
 143. |  143    1.016379 |
 144. |  144    .1252386 |
 145. |  145   -.9045002 |
      |------------------|
 146. |  146   -.5808347 |
 147. |  147   -1.424742 |
 148. |  148    1.136199 |
 149. |  149    .2921139 |
 150. |  150    .3096178 |
      |------------------|
 151. |  151   -.7060056 |
 152. |  152    .0529082 |
 153. |  153   -.2976007 |
 154. |  154   -.2165111 |
 155. |  155    1.299809 |
      |------------------|
 156. |  156    .1418742 |
 157. |  157    1.550615 |
 158. |  158    .2515597 |
 159. |  159    .5219213 |
 160. |  160   -.0704348 |
      |------------------|
 161. |  161    .4682247 |
 162. |  162    1.135783 |
 163. |  163   -.5123183 |
 164. |  164    1.230411 |
 165. |  165   -1.137331 |
      |------------------|
 166. |  166   -.2743827 |
 167. |  167   -.4264619 |
 168. |  168   -.3362288 |
 169. |  169   -.2672246 |
 170. |  170    .5099298 |
      |------------------|
 171. |  171    .1129395 |
 172. |  172    .4352151 |
 173. |  173   -1.323763 |
 174. |  174     .365507 |
 175. |  175   -1.428461 |
      |------------------|
 176. |  176   -.3527708 |
 177. |  177   -.0646102 |
 178. |  178   -.2019482 |
 179. |  179    .8477963 |
 180. |  180   -1.204137 |
      |------------------|
 181. |  181    .2166059 |
 182. |  182   -.6621976 |
 183. |  183    -.606875 |
 184. |  184    -.116631 |
 185. |  185    .1313926 |
      |------------------|
 186. |  186   -.3845705 |
 187. |  187   -1.975356 |
 188. |  188    1.446624 |
 189. |  189   -.1528352 |
 190. |  190   -.5537526 |
      |------------------|
 191. |  191   -1.655572 |
 192. |  192    2.794861 |
 193. |  193   -1.735899 |
 194. |  194    .4828624 |
 195. |  195    1.495862 |
      |------------------|
 196. |  196    1.775612 |
 197. |  197    1.533041 |
 198. |  198     .807706 |
 199. |  199    .7253602 |
 200. |  200    .9061058 |
      |------------------|
 201. |  201   -2.685881 |
 202. |  202   -1.277903 |
 203. |  203   -.5239586 |
 204. |  204    .8698702 |
 205. |  205    1.040118 |
      |------------------|
 206. |  206   -1.568616 |
 207. |  207    .2409494 |
 208. |  208   -1.188984 |
 209. |  209   -.1022815 |
 210. |  210   -.6783351 |
      |------------------|
 211. |  211   -2.006534 |
 212. |  212   -.3832266 |
 213. |  213    -1.33277 |
 214. |  214   -.5361734 |
 215. |  215    1.535977 |
      |------------------|
 216. |  216    1.089039 |
 217. |  217   -1.446115 |
 218. |  218   -.6660534 |
 219. |  219    .7262409 |
 220. |  220   -.7197877 |
      |------------------|
 221. |  221    1.428664 |
 222. |  222   -1.861207 |
 223. |  223    1.158127 |
 224. |  224    .2347558 |
 225. |  225    .1994864 |
      |------------------|
 226. |  226    1.444645 |
 227. |  227    .2568011 |
 228. |  228   -.4792487 |
 229. |  229     .255076 |
 230. |  230    .5560354 |
      |------------------|
 231. |  231   -1.798258 |
 232. |  232    -1.27296 |
 233. |  233     .175548 |
 234. |  234   -1.309553 |
 235. |  235   -.7548561 |
      |------------------|
 236. |  236    1.189875 |
 237. |  237    .5404224 |
 238. |  238    1.846101 |
 239. |  239    1.202226 |
 240. |  240    1.353276 |
      |------------------|
 241. |  241   -.0599763 |
 242. |  242   -.1167567 |
 243. |  243    .4198408 |
 244. |  244   -1.188903 |
 245. |  245   -1.836232 |
      |------------------|
 246. |  246    .4022007 |
 247. |  247    1.853389 |
 248. |  248   -1.182597 |
 249. |  249    .2834011 |
 250. |  250    .2938585 |
      |------------------|
 251. |  251   -2.096827 |
 252. |  252    -.052662 |
 253. |  253   -.1591136 |
 254. |  254    1.274471 |
 255. |  255    1.374705 |
      |------------------|
 256. |  256     .672011 |
 257. |  257    .1598892 |
 258. |  258    .2856443 |
 259. |  259   -2.228199 |
 260. |  260     2.12187 |
      |------------------|
 261. |  261    .0560126 |
 262. |  262    .9925109 |
 263. |  263   -.0382041 |
 264. |  264     2.16461 |
 265. |  265    .7344644 |
      |------------------|
 266. |  266   -1.042256 |
 267. |  267    .5484444 |
 268. |  268    .2151211 |
 269. |  269    1.956997 |
 270. |  270    1.008357 |
      |------------------|
 271. |  271   -.0181415 |
 272. |  272   -2.268521 |
 273. |  273   -.2474441 |
 274. |  274   -1.593462 |
 275. |  275   -.5144553 |
      |------------------|
 276. |  276   -1.846865 |
 277. |  277   -.0200764 |
 278. |  278   -.6250777 |
 279. |  279    2.109213 |
 280. |  280   -.6289856 |
      |------------------|
 281. |  281   -.6818407 |
 282. |  282   -.2914008 |
 283. |  283    .6255222 |
 284. |  284    -.067036 |
 285. |  285    1.061687 |
      |------------------|
 286. |  286   -1.142176 |
 287. |  287   -2.028768 |
 288. |  288   -1.212474 |
 289. |  289    -.994473 |
 290. |  290    .5697532 |
      |------------------|
 291. |  291    .2671605 |
 292. |  292    2.251146 |
 293. |  293    1.059948 |
 294. |  294    .8558082 |
 295. |  295    -.362899 |
      |------------------|
 296. |  296   -.4349391 |
 297. |  297   -.8722016 |
 298. |  298   -1.651658 |
 299. |  299   -.4181904 |
 300. |  300    .1424432 |
      |------------------|
 301. |  301   -1.609181 |
 302. |  302   -.0945394 |
 303. |  303   -.4313065 |
 304. |  304   -.3098606 |
 305. |  305   -2.015078 |
      |------------------|
 306. |  306   -.6534601 |
 307. |  307   -.1074294 |
 308. |  308    1.630128 |
 309. |  309    .9580944 |
 310. |  310   -.4813481 |
      |------------------|
 311. |  311   -.5571524 |
 312. |  312   -.7358866 |
 313. |  313    1.010093 |
 314. |  314    2.612439 |
 315. |  315    .1778557 |
      |------------------|
 316. |  316    .3367403 |
 317. |  317    .3923099 |
 318. |  318    .2792211 |
 319. |  319   -.3805102 |
 320. |  320    .6530472 |
      |------------------|
 321. |  321   -.6116056 |
 322. |  322   -.1112476 |
 323. |  323   -1.570608 |
 324. |  324    .9243056 |
 325. |  325    .2369389 |
      |------------------|
 326. |  326    .5654903 |
 327. |  327   -1.696874 |
 328. |  328    .8299658 |
 329. |  329     .701256 |
 330. |  330   -.3538171 |
      |------------------|
 331. |  331     .241815 |
 332. |  332    .2797004 |
 333. |  333     -.04498 |
 334. |  334   -.4064309 |
 335. |  335   -.0289903 |
      |------------------|
 336. |  336    1.350463 |
 337. |  337   -.7762255 |
 338. |  338    .5828066 |
 339. |  339     1.62613 |
 340. |  340    -.029369 |
      |------------------|
 341. |  341    .0227822 |
 342. |  342    .1956002 |
 343. |  343   -.3681657 |
 344. |  344    .5442269 |
 345. |  345   -1.112118 |
      |------------------|
 346. |  346   -.0460626 |
 347. |  347    .7610562 |
 348. |  348     .862316 |
 349. |  349   -.1632559 |
 350. |  350    .6002812 |
      |------------------|
 351. |  351    .2913818 |
 352. |  352   -.2208314 |
 353. |  353   -.6876032 |
 354. |  354    .3248861 |
 355. |  355   -.4583946 |
      |------------------|
 356. |  356   -.9902801 |
 357. |  357   -1.180479 |
 358. |  358   -.2502932 |
 359. |  359   -1.576021 |
 360. |  360    .1509138 |
      |------------------|
 361. |  361    .2226478 |
 362. |  362    .0922124 |
 363. |  363    .1009297 |
 364. |  364    .1000848 |
 365. |  365    .9398682 |
      |------------------|
 366. |  366   -.2848455 |
 367. |  367    2.136075 |
 368. |  368   -.0971287 |
 369. |  369    .2448826 |
 370. |  370    .9815377 |
      |------------------|
 371. |  371   -.3102989 |
 372. |  372   -.7744201 |
 373. |  373     1.62172 |
 374. |  374    .0506524 |
 375. |  375   -.0495846 |
      |------------------|
 376. |  376    .6207317 |
 377. |  377    .5656469 |
 378. |  378   -1.410948 |
 379. |  379   -1.483447 |
 380. |  380    .1231526 |
      |------------------|
 381. |  381    .1318701 |
 382. |  382   -.5513846 |
 383. |  383    .3903461 |
 384. |  384    .7442589 |
 385. |  385   -.7280818 |
      |------------------|
 386. |  386     .519384 |
 387. |  387     1.04848 |
 388. |  388   -.1717771 |
 389. |  389    .8468291 |
 390. |  390   -.6588629 |
      |------------------|
 391. |  391   -.0120603 |
 392. |  392   -.2273209 |
 393. |  393    .3843958 |
 394. |  394    .6578931 |
 395. |  395   -.3998818 |
      |------------------|
 396. |  396   -.0570558 |
 397. |  397    -.071301 |
 398. |  398   -1.346596 |
 399. |  399   -1.613799 |
 400. |  400    .0046465 |
      |------------------|
 401. |  401    .1917665 |
 402. |  402   -.0458702 |
 403. |  403    .2232178 |
 404. |  404     .511095 |
 405. |  405    1.892978 |
      |------------------|
 406. |  406    1.330781 |
 407. |  407    .5322794 |
 408. |  408    .4609152 |
 409. |  409    1.700138 |
 410. |  410   -.1463113 |
      |------------------|
 411. |  411     .041096 |
 412. |  412   -1.070596 |
 413. |  413   -.1749803 |
 414. |  414    1.925369 |
 415. |  415   -2.768309 |
      |------------------|
 416. |  416    1.579867 |
 417. |  417   -.8728904 |
 418. |  418   -.0419233 |
 419. |  419    .3404389 |
 420. |  420    1.875566 |
      |------------------|
 421. |  421    -1.14402 |
 422. |  422    1.617397 |
 423. |  423   -.7513171 |
 424. |  424    .4208706 |
 425. |  425    .6919503 |
      |------------------|
 426. |  426   -.7335452 |
 427. |  427    -1.14506 |
 428. |  428    .7130898 |
 429. |  429   -.7333998 |
 430. |  430   -1.551649 |
      |------------------|
 431. |  431   -.7833778 |
 432. |  432   -.7113577 |
 433. |  433   -.0320987 |
 434. |  434   -1.292501 |
 435. |  435    .8745252 |
      |------------------|
 436. |  436    .6459072 |
 437. |  437    .6087984 |
 438. |  438   -.4677888 |
 439. |  439   -.9683754 |
 440. |  440    .1907486 |
      |------------------|
 441. |  441   -1.291247 |
 442. |  442    1.441978 |
 443. |  443   -.1446344 |
 444. |  444    .7115691 |
 445. |  445    1.077635 |
      |------------------|
 446. |  446   -.8337385 |
 447. |  447    .3482048 |
 448. |  448    1.092122 |
 449. |  449    .2512711 |
 450. |  450   -.7102432 |
      |------------------|
 451. |  451   -.1598949 |
 452. |  452    1.155921 |
 453. |  453   -1.420125 |
 454. |  454    .0369669 |
 455. |  455     .467805 |
      |------------------|
 456. |  456   -1.488773 |
 457. |  457    .1803309 |
 458. |  458   -.1887162 |
 459. |  459   -.8455482 |
 460. |  460    1.726927 |
      |------------------|
 461. |  461   -.5979623 |
 462. |  462   -.0028362 |
 463. |  463    1.035826 |
 464. |  464    .2362906 |
 465. |  465    .6060732 |
      |------------------|
 466. |  466    1.282696 |
 467. |  467   -.2500401 |
 468. |  468   -.4827638 |
 469. |  469   -1.482909 |
 470. |  470   -1.189311 |
      |------------------|
 471. |  471    .2256928 |
 472. |  472   -.6726233 |
 473. |  473    .3647718 |
 474. |  474    .3800467 |
 475. |  475   -1.322664 |
      |------------------|
 476. |  476   -1.201436 |
 477. |  477    .8153715 |
 478. |  478   -.4724619 |
 479. |  479    .0444295 |
 480. |  480   -1.098764 |
      |------------------|
 481. |  481   -.0973542 |
 482. |  482    .0986088 |
 483. |  483    .9700507 |
 484. |  484   -.5922835 |
 485. |  485    .3964604 |
      |------------------|
 486. |  486   -.3023429 |
 487. |  487    .2358694 |
 488. |  488   -1.593387 |
 489. |  489   -.0343975 |
 490. |  490   -.1058547 |
      |------------------|
 491. |  491   -.5335519 |
 492. |  492    1.496105 |
 493. |  493    .4262308 |
 494. |  494   -.1862901 |
 495. |  495   -.5590256 |
      |------------------|
 496. |  496    .6652241 |
 497. |  497   -.4265276 |
 498. |  498   -.8521944 |
 499. |  499   -.0752461 |
 500. |  500    .5037636 |
      |------------------|
 501. |  501   -1.602581 |
 502. |  502     .530975 |
 503. |  503   -.8250917 |
 504. |  504   -.1008031 |
 505. |  505   -.8706823 |
      |------------------|
 506. |  506   -1.169562 |
 507. |  507    1.580429 |
 508. |  508   -.5756249 |
 509. |  509    .2149267 |
 510. |  510    .4020103 |
      |------------------|
 511. |  511      1.7752 |
 512. |  512    .1517798 |
 513. |  513    .4848253 |
 514. |  514   -1.843683 |
 515. |  515    .7137244 |
      |------------------|
 516. |  516    .1389892 |
 517. |  517   -.2488664 |
 518. |  518   -1.048541 |
 519. |  519   -1.435664 |
 520. |  520   -.6860662 |
      |------------------|
 521. |  521   -.0431422 |
 522. |  522   -.0554156 |
 523. |  523   -.7208099 |
 524. |  524   -.4683639 |
 525. |  525    .3813822 |
      |------------------|
 526. |  526    .2117624 |
 527. |  527    .9898331 |
 528. |  528    .6130861 |
 529. |  529   -.5112404 |
 530. |  530    1.540761 |
      |------------------|
 531. |  531     .857437 |
 532. |  532   -.8644966 |
 533. |  533   -.2284393 |
 534. |  534   -1.618661 |
 535. |  535    1.054548 |
      |------------------|
 536. |  536   -.0501279 |
 537. |  537    .6769754 |
 538. |  538    -2.57569 |
 539. |  539    .0773947 |
 540. |  540      .62124 |
      |------------------|
 541. |  541   -.4939545 |
 542. |  542    .5382717 |
 543. |  543   -1.294923 |
 544. |  544    1.887261 |
 545. |  545     .726882 |
      |------------------|
 546. |  546    1.005938 |
 547. |  547    1.518114 |
 548. |  548    -1.54074 |
 549. |  549   -1.288454 |
 550. |  550    1.233295 |
      |------------------|
 551. |  551   -1.451554 |
 552. |  552   -.2324717 |
 553. |  553   -.3137747 |
 554. |  554    -.948832 |
 555. |  555    .0075388 |
      |------------------|
 556. |  556    .1701841 |
 557. |  557    .8427689 |
 558. |  558    1.498702 |
 559. |  559   -.2832655 |
 560. |  560   -.1474013 |
      |------------------|
 561. |  561   -2.300458 |
 562. |  562    .7890605 |
 563. |  563   -.0901579 |
 564. |  564    1.337788 |
 565. |  565   -.6666995 |
      |------------------|
 566. |  566    .0974492 |
 567. |  567   -.8869191 |
 568. |  568   -1.333156 |
 569. |  569   -.3424672 |
 570. |  570   -1.557153 |
      |------------------|
 571. |  571    1.255115 |
 572. |  572    1.601728 |
 573. |  573   -.1329453 |
 574. |  574    1.338017 |
 575. |  575    -.166749 |
      |------------------|
 576. |  576    .8968455 |
 577. |  577    .7490819 |
 578. |  578    .0808164 |
 579. |  579    .1506723 |
 580. |  580   -1.072407 |
      |------------------|
 581. |  581    .4078404 |
 582. |  582   -2.045994 |
 583. |  583   -1.552916 |
 584. |  584   -.6020256 |
 585. |  585    .0378946 |
      |------------------|
 586. |  586   -1.277793 |
 587. |  587    -.870465 |
 588. |  588   -.1999673 |
 589. |  589     .466339 |
 590. |  590    .1532419 |
      |------------------|
 591. |  591    .9396062 |
 592. |  592     .804072 |
 593. |  593    .9597554 |
 594. |  594    1.427121 |
 595. |  595   -.7371572 |
      |------------------|
 596. |  596     1.35454 |
 597. |  597     1.16308 |
 598. |  598    1.325337 |
 599. |  599    1.625208 |
 600. |  600   -.3579479 |
      |------------------|
 601. |  601    .1162236 |
 602. |  602   -1.091926 |
 603. |  603   -.8781271 |
 604. |  604   -.0343665 |
 605. |  605    1.199268 |
      |------------------|
 606. |  606   -.4884108 |
 607. |  607   -1.475732 |
 608. |  608   -.2122186 |
 609. |  609    .9077238 |
 610. |  610    .5510911 |
      |------------------|
 611. |  611   -.0858719 |
 612. |  612    .8055696 |
 613. |  613   -1.238953 |
 614. |  614   -2.675363 |
 615. |  615    .6053939 |
      |------------------|
 616. |  616    .5517752 |
 617. |  617    .3738864 |
 618. |  618    1.433915 |
 619. |  619   -.6692179 |
 620. |  620    .2128516 |
      |------------------|
 621. |  621   -1.094851 |
 622. |  622    .6047438 |
 623. |  623   -1.740973 |
 624. |  624   -1.297879 |
 625. |  625   -.7411873 |
      |------------------|
 626. |  626   -.9046167 |
 627. |  627    2.234383 |
 628. |  628    .9118711 |
 629. |  629    -.845832 |
 630. |  630    .1932364 |
      |------------------|
 631. |  631   -.1061419 |
 632. |  632   -.9087975 |
 633. |  633    .5524926 |
 634. |  634     .291903 |
 635. |  635     .853697 |
      |------------------|
 636. |  636   -.0176941 |
 637. |  637   -.5218471 |
 638. |  638   -.6103472 |
 639. |  639    .7470587 |
 640. |  640    .2737722 |
      |------------------|
 641. |  641    .3182037 |
 642. |  642    .4343857 |
 643. |  643    .8807989 |
 644. |  644    -1.80356 |
 645. |  645    -.928274 |
      |------------------|
 646. |  646   -.7533876 |
 647. |  647    .4337477 |
 648. |  648   -.6335073 |
 649. |  649    2.522057 |
 650. |  650    1.786841 |
      |------------------|
 651. |  651   -.3708929 |
 652. |  652    .4998562 |
 653. |  653   -.2074376 |
 654. |  654      .33821 |
 655. |  655   -1.051416 |
      |------------------|
 656. |  656   -1.488973 |
 657. |  657   -.2891398 |
 658. |  658     .597944 |
 659. |  659   -.8348579 |
 660. |  660    1.293339 |
      |------------------|
 661. |  661   -.4660076 |
 662. |  662   -.4081192 |
 663. |  663   -.0495677 |
 664. |  664    .5499542 |
 665. |  665   -.5593284 |
      |------------------|
 666. |  666   -2.011522 |
 667. |  667   -.3149541 |
 668. |  668    .6621203 |
 669. |  669    1.002806 |
 670. |  670     .508064 |
      |------------------|
 671. |  671    .2927263 |
 672. |  672   -1.054243 |
 673. |  673    -1.04881 |
 674. |  674   -1.323354 |
 675. |  675    .2213561 |
      |------------------|
 676. |  676   -.0872616 |
 677. |  677     .564153 |
 678. |  678    .2197462 |
 679. |  679    1.757628 |
 680. |  680    -.241918 |
      |------------------|
 681. |  681   -.2867713 |
 682. |  682   -.9972175 |
 683. |  683    .5634546 |
 684. |  684    .6354174 |
 685. |  685    .0287357 |
      |------------------|
 686. |  686   -.9650683 |
 687. |  687   -.8251513 |
 688. |  688    1.589773 |
 689. |  689    1.125347 |
 690. |  690   -.0202734 |
      |------------------|
 691. |  691    1.269306 |
 692. |  692   -.1166379 |
 693. |  693   -1.704966 |
 694. |  694   -.6181422 |
 695. |  695    -.177736 |
      |------------------|
 696. |  696   -.4003836 |
 697. |  697    .8981507 |
 698. |  698    .6921824 |
 699. |  699    .2567058 |
 700. |  700    .5789874 |
      |------------------|
 701. |  701   -1.182519 |
 702. |  702    .5684961 |
 703. |  703    .6078401 |
 704. |  704   -2.277072 |
 705. |  705    1.104062 |
      |------------------|
 706. |  706   -.7723219 |
 707. |  707    1.265691 |
 708. |  708   -1.142903 |
 709. |  709   -.0679258 |
 710. |  710   -.3289686 |
      |------------------|
 711. |  711    .7568526 |
 712. |  712   -.0285646 |
 713. |  713    1.055141 |
 714. |  714    .9659743 |
 715. |  715   -.6445605 |
      |------------------|
 716. |  716    1.403298 |
 717. |  717    1.395585 |
 718. |  718   -.4866246 |
 719. |  719    .4613664 |
 720. |  720   -.3469577 |
      |------------------|
 721. |  721    .7450666 |
 722. |  722    .2297588 |
 723. |  723   -1.951105 |
 724. |  724    .3176712 |
 725. |  725   -.8980321 |
      |------------------|
 726. |  726   -1.613414 |
 727. |  727    -.733295 |
 728. |  728   -1.866571 |
 729. |  729    2.151134 |
 730. |  730   -.0639413 |
      |------------------|
 731. |  731    -1.28822 |
 732. |  732   -1.364896 |
 733. |  733   -.6737947 |
 734. |  734   -1.490323 |
 735. |  735    1.760966 |
      |------------------|
 736. |  736    .9452105 |
 737. |  737   -.9121947 |
 738. |  738    .0129943 |
 739. |  739    .2568509 |
 740. |  740    .6942593 |
      |------------------|
 741. |  741    .6448332 |
 742. |  742   -2.080151 |
 743. |  743   -.2446902 |
 744. |  744   -.3179985 |
 745. |  745     .003342 |
      |------------------|
 746. |  746    .2444331 |
 747. |  747    -1.59005 |
 748. |  748   -1.422235 |
 749. |  749    1.052857 |
 750. |  750   -1.311245 |
      |------------------|
 751. |  751     .704098 |
 752. |  752    1.195598 |
 753. |  753    .4944878 |
 754. |  754    .1594463 |
 755. |  755    -.133413 |
      |------------------|
 756. |  756    .8165039 |
 757. |  757   -1.592732 |
 758. |  758    .5377601 |
 759. |  759    1.887822 |
 760. |  760    .4245022 |
      |------------------|
 761. |  761   -1.533783 |
 762. |  762    .5349092 |
 763. |  763   -.2856134 |
 764. |  764   -1.920244 |
 765. |  765   -1.377732 |
      |------------------|
 766. |  766    .1736525 |
 767. |  767   -1.489695 |
 768. |  768    1.180464 |
 769. |  769    .2929584 |
 770. |  770    .0598251 |
      |------------------|
 771. |  771   -.4761916 |
 772. |  772    .1691997 |
 773. |  773   -.1805169 |
 774. |  774     .787434 |
 775. |  775    .0706434 |
      |------------------|
 776. |  776    1.466679 |
 777. |  777   -2.497835 |
 778. |  778   -.1571672 |
 779. |  779    .9870242 |
 780. |  780    .9131742 |
      |------------------|
 781. |  781   -1.049172 |
 782. |  782   -.4063579 |
 783. |  783   -1.370692 |
 784. |  784      .51477 |
 785. |  785    1.987119 |
      |------------------|
 786. |  786   -.6168657 |
 787. |  787    .8941302 |
 788. |  788   -1.047812 |
 789. |  789   -1.602619 |
 790. |  790    -1.17792 |
      |------------------|
 791. |  791   -1.413066 |
 792. |  792   -.4896561 |
 793. |  793    1.300901 |
 794. |  794     .245839 |
 795. |  795    .7570037 |
      |------------------|
 796. |  796   -.0277208 |
 797. |  797    .6473845 |
 798. |  798    1.316695 |
 799. |  799   -.3411972 |
 800. |  800    .5801508 |
      |------------------|
 801. |  801   -3.134875 |
 802. |  802   -.0632018 |
 803. |  803    1.689539 |
 804. |  804     .733464 |
 805. |  805   -.3266066 |
      |------------------|
 806. |  806   -.6272146 |
 807. |  807   -.0911353 |
 808. |  808   -1.242403 |
 809. |  809   -1.399434 |
 810. |  810   -1.990937 |
      |------------------|
 811. |  811   -.8877168 |
 812. |  812   -.5922476 |
 813. |  813    .8222731 |
 814. |  814   -.7392622 |
 815. |  815   -.2409212 |
      |------------------|
 816. |  816   -.7236612 |
 817. |  817    1.551954 |
 818. |  818   -2.618528 |
 819. |  819    .1096425 |
 820. |  820     .392188 |
      |------------------|
 821. |  821   -1.557521 |
 822. |  822    .1317131 |
 823. |  823    .0370387 |
 824. |  824   -.0588558 |
 825. |  825    .9799725 |
      |------------------|
 826. |  826   -1.371274 |
 827. |  827   -.1132407 |
 828. |  828   -.6798155 |
 829. |  829   -2.068321 |
 830. |  830   -.3610832 |
      |------------------|
 831. |  831    1.319216 |
 832. |  832    .4572618 |
 833. |  833     2.44157 |
 834. |  834     .300524 |
 835. |  835    .6757059 |
      |------------------|
 836. |  836   -.2839839 |
 837. |  837   -1.812719 |
 838. |  838    .5142489 |
 839. |  839   -.1774677 |
 840. |  840     1.01315 |
      |------------------|
 841. |  841    1.457569 |
 842. |  842   -1.247653 |
 843. |  843   -.6057906 |
 844. |  844   -.2738331 |
 845. |  845   -.7920532 |
      |------------------|
 846. |  846   -.4845861 |
 847. |  847   -.7588502 |
 848. |  848    .4545294 |
 849. |  849    1.562121 |
 850. |  850   -.2401187 |
      |------------------|
 851. |  851    .3728201 |
 852. |  852   -.7855384 |
 853. |  853    .6661779 |
 854. |  854   -.0943794 |
 855. |  855   -.7258882 |
      |------------------|
 856. |  856   -.1951037 |
 857. |  857   -.1986779 |
 858. |  858    1.622391 |
 859. |  859    .7164988 |
 860. |  860    .8330477 |
      |------------------|
 861. |  861   -.3689816 |
 862. |  862   -2.207943 |
 863. |  863   -.2400632 |
 864. |  864   -.3347092 |
 865. |  865    .2985965 |
      |------------------|
 866. |  866   -.7079299 |
 867. |  867   -.1147762 |
 868. |  868    .3244675 |
 869. |  869      .80782 |
 870. |  870     .817636 |
      |------------------|
 871. |  871   -.1543134 |
 872. |  872    .5656711 |
 873. |  873    .8527102 |
 874. |  874   -1.486047 |
 875. |  875   -.5340993 |
      |------------------|
 876. |  876   -1.504978 |
 877. |  877    .5433943 |
 878. |  878   -1.944501 |
 879. |  879    .6561244 |
 880. |  880    .6132859 |
      |------------------|
