
      +------------------------------+
      |   id          x1          x2 |
 111. |  111    .0396736     1.64601 |
 112. |  112    .6678256    .9089795 |
 113. |  113   -1.162821   -1.268116 |
 114. |  114   -1.585099   -.5576187 |
 115. |  115   -.0959236   -.1570824 |
      |------------------------------|
 116. |  116    1.384397   -.1241772 |
 117. |  117    .1471388   -.0403605 |
 118. |  118   -1.435165    .5645419 |
 119. |  119    1.673544   -.0501985 |
 120. |  120    1.122716   -.6116524 |
      |------------------------------|
 121. |  121   -.6530445   -.2244009 |
 122. |  122   -.2852106    1.519628 |
 123. |  123   -.1370679   -1.692105 |
 124. |  124     1.22838   -.1597251 |
 125. |  125    1.408024    .0404078 |
      |------------------------------|
 126. |  126   -1.228262   -1.995521 |
 127. |  127    .2137686    -1.08228 |
 128. |  128    .9158241    1.450875 |
 129. |  129   -.4988582   -1.275557 |
 130. |  130    .6740854    1.292851 |
      |------------------------------|
 131. |  131    .1856844   -.1010881 |
 132. |  132    .6255603   -.0023614 |
 133. |  133    -.655491     .798984 |
 134. |  134   -.2095753   -.7483882 |
 135. |  135   -.7241676   -.9154214 |
      |------------------------------|
 136. |  136     1.12234    .6263618 |
 137. |  137    .4568345    .4574982 |
 138. |  138   -1.319458    .2440009 |
 139. |  139    .8044527   -2.072336 |
 140. |  140     .871748   -.5094055 |
      |------------------------------|
 141. |  141   -.4861534   -.5964692 |
 142. |  142    .0418676   -.3279395 |
 143. |  143    1.016379   -1.056102 |
 144. |  144    .1252386    .2580626 |
 145. |  145   -.9045002     1.57613 |
      |------------------------------|
 146. |  146   -.5808347   -2.079472 |
 147. |  147   -1.424742   -.4867565 |
 148. |  148    1.136199   -1.109455 |
 149. |  149    .2921139   -.8779329 |
 150. |  150    .3096178    .9969618 |
      |------------------------------|
 151. |  151   -.7060056    1.010356 |
 152. |  152    .0529082    .0705549 |
 153. |  153   -.2976007    .8162342 |
 154. |  154   -.2165111    -.084023 |
 155. |  155    1.299809    -.475146 |
      |------------------------------|
 156. |  156    .1418742    1.263951 |
 157. |  157    1.550615   -.8910176 |
 158. |  158    .2515597   -.6921536 |
 159. |  159    .5219213   -1.121652 |
 160. |  160   -.0704348   -.0659058 |
      |------------------------------|
 161. |  161    .4682247   -.7666861 |
 162. |  162    1.135783    1.131328 |
 163. |  163   -.5123183    .3665927 |
 164. |  164    1.230411   -1.868096 |
 165. |  165   -1.137331    .9803563 |
      |------------------------------|
 166. |  166   -.2743827    -1.22405 |
 167. |  167   -.4264619    1.199598 |
 168. |  168   -.3362288    .4189393 |
 169. |  169   -.2672246   -.0961049 |
 170. |  170    .5099298    1.013367 |
      |------------------------------|
 171. |  171    .1129395    1.441031 |
 172. |  172    .4352151    .8121662 |
 173. |  173   -1.323763    .7039549 |
 174. |  174     .365507    1.477563 |
 175. |  175   -1.428461   -1.045597 |
      |------------------------------|
 176. |  176   -.3527708    .4517266 |
 177. |  177   -.0646102   -1.253536 |
 178. |  178   -.2019482   -.2314782 |
 179. |  179    .8477963   -.3342004 |
 180. |  180   -1.204137   -.6138982 |
      |------------------------------|
 181. |  181    .2166059   -1.035766 |
 182. |  182   -.6621976   -.8077042 |
 183. |  183    -.606875    .2428524 |
 184. |  184    -.116631     .207855 |
 185. |  185    .1313926    1.091188 |
      |------------------------------|
 186. |  186   -.3845705   -.5406796 |
 187. |  187   -1.975356   -.8241946 |
 188. |  188    1.446624   -.0743314 |
 189. |  189   -.1528352    .9542936 |
 190. |  190   -.5537526    .9466798 |
      |------------------------------|
 191. |  191   -1.655572    .4311577 |
 192. |  192    2.794861    1.192559 |
 193. |  193   -1.735899    -.339226 |
 194. |  194    .4828624    .1146103 |
 195. |  195    1.495862   -1.727929 |
      |------------------------------|
 196. |  196    1.775612   -1.912633 |
 197. |  197    1.533041     1.88581 |
 198. |  198     .807706     .558593 |
 199. |  199    .7253602   -.0298722 |
 200. |  200    .9061058   -1.420684 |
      |------------------------------|
 201. |  201   -2.685881    .8605636 |
 202. |  202   -1.277903    .5893129 |
 203. |  203   -.5239586    .4536659 |
 204. |  204    .8698702    .9075273 |
 205. |  205    1.040118    .5468985 |
      |------------------------------|
 206. |  206   -1.568616   -.2095311 |
 207. |  207    .2409494   -.3372984 |
 208. |  208   -1.188984   -.1071963 |
 209. |  209   -.1022815    2.903582 |
 210. |  210   -.6783351    .8302497 |
      |------------------------------|
 211. |  211   -2.006534   -.5061078 |
 212. |  212   -.3832266    .0829894 |
 213. |  213    -1.33277   -1.407615 |
 214. |  214   -.5361734    .0277982 |
 215. |  215    1.535977     1.28039 |
      |------------------------------|
 216. |  216    1.089039   -1.557261 |
 217. |  217   -1.446115   -.9181439 |
 218. |  218   -.6660534    .0608271 |
 219. |  219    .7262409    .2598017 |
 220. |  220   -.7197877    .5004311 |
      |------------------------------|
 221. |  221    1.428664   -1.277955 |
 222. |  222   -1.861207    1.747954 |
 223. |  223    1.158127   -1.610339 |
 224. |  224    .2347558    .2525124 |
 225. |  225    .1994864   -1.268013 |
      |------------------------------|
 226. |  226    1.444645   -.8021289 |
 227. |  227    .2568011    .5665041 |
 228. |  228   -.4792487     1.44147 |
 229. |  229     .255076    .9142046 |
 230. |  230    .5560354   -.0566277 |
      |------------------------------|
 231. |  231   -1.798258    .5712964 |
 232. |  232    -1.27296   -1.512012 |
 233. |  233     .175548   -.1360947 |
 234. |  234   -1.309553   -.1402056 |
 235. |  235   -.7548561   -.2393275 |
      |------------------------------|
 236. |  236    1.189875    .0326369 |
 237. |  237    .5404224    .6189662 |
 238. |  238    1.846101    .5442324 |
 239. |  239    1.202226    .5543351 |
 240. |  240    1.353276   -1.726123 |
      |------------------------------|
 241. |  241   -.0599763   -.1540624 |
 242. |  242   -.1167567   -1.521802 |
 243. |  243    .4198408   -1.093464 |
 244. |  244   -1.188903    .2180781 |
 245. |  245   -1.836232   -.0559751 |
      |------------------------------|
 246. |  246    .4022007    .2061342 |
 247. |  247    1.853389    .6742432 |
 248. |  248   -1.182597    .6920736 |
 249. |  249    .2834011   -.4452953 |
 250. |  250    .2938585    .0152558 |
      |------------------------------|
 251. |  251   -2.096827   -.7176054 |
 252. |  252    -.052662    1.607542 |
 253. |  253   -.1591136   -.5765435 |
 254. |  254    1.274471   -1.001135 |
 255. |  255    1.374705    .1581744 |
      |------------------------------|
 256. |  256     .672011    -.087206 |
 257. |  257    .1598892    2.404327 |
 258. |  258    .2856443   -1.558416 |
 259. |  259   -2.228199    .2663309 |
 260. |  260     2.12187   -.6564633 |
      |------------------------------|
 261. |  261    .0560126   -.6247391 |
 262. |  262    .9925109    .8434801 |
 263. |  263   -.0382041    .2104872 |
 264. |  264     2.16461   -.5660245 |
 265. |  265    .7344644    .2812787 |
      |------------------------------|
 266. |  266   -1.042256   -.3154022 |
 267. |  267    .5484444    .4015582 |
 268. |  268    .2151211   -.7859083 |
 269. |  269    1.956997    2.286111 |
 270. |  270    1.008357   -1.112007 |
      |------------------------------|
 271. |  271   -.0181415    1.064216 |
 272. |  272   -2.268521   -.4523996 |
 273. |  273   -.2474441   -.3339096 |
 274. |  274   -1.593462    .5518141 |
 275. |  275   -.5144553    1.312072 |
      |------------------------------|
 276. |  276   -1.846865    .7805309 |
 277. |  277   -.0200764    1.275658 |
 278. |  278   -.6250777   -.2659751 |
 279. |  279    2.109213   -.2082378 |
 280. |  280   -.6289856   -.5071629 |
      |------------------------------|
 281. |  281   -.6818407   -2.974522 |
 282. |  282   -.2914008     .270358 |
 283. |  283    .6255222   -1.338792 |
 284. |  284    -.067036    1.110439 |
 285. |  285    1.061687    1.403245 |
      |------------------------------|
 286. |  286   -1.142176   -.0235405 |
 287. |  287   -2.028768    .6473755 |
 288. |  288   -1.212474   -.0510534 |
 289. |  289    -.994473    -1.20547 |
 290. |  290    .5697532     .437299 |
      |------------------------------|
 291. |  291    .2671605    1.101214 |
 292. |  292    2.251146    .1150024 |
 293. |  293    1.059948   -.1436356 |
 294. |  294    .8558082   -.2397352 |
 295. |  295    -.362899    .2304524 |
      |------------------------------|
 296. |  296   -.4349391    1.122222 |
 297. |  297   -.8722016    .4895346 |
 298. |  298   -1.651658   -1.559104 |
 299. |  299   -.4181904    .9098003 |
 300. |  300    .1424432   -.8763367 |
      |------------------------------|
 301. |  301   -1.609181    .8906205 |
 302. |  302   -.0945394   -.9110888 |
 303. |  303   -.4313065    .7494841 |
 304. |  304   -.3098606    .2004066 |
 305. |  305   -2.015078    2.196427 |
      |------------------------------|
 306. |  306   -.6534601   -.0543078 |
 307. |  307   -.1074294   -1.758602 |
 308. |  308    1.630128   -1.729411 |
 309. |  309    .9580944    -1.28019 |
 310. |  310   -.4813481    .7063087 |
      |------------------------------|
 311. |  311   -.5571524    .5910733 |
 312. |  312   -.7358866    .7054684 |
 313. |  313    1.010093    3.648747 |
 314. |  314    2.612439   -.4040607 |
 315. |  315    .1778557   -.8131983 |
      |------------------------------|
 316. |  316    .3367403    .3186195 |
 317. |  317    .3923099   -.7088634 |
 318. |  318    .2792211   -.9482545 |
 319. |  319   -.3805102   -.6280715 |
 320. |  320    .6530472    1.744326 |
      |------------------------------|
 321. |  321   -.6116056   -1.147826 |
 322. |  322   -.1112476   -.3353231 |
 323. |  323   -1.570608   -.5149236 |
 324. |  324    .9243056   -1.248389 |
 325. |  325    .2369389    .4571615 |
      |------------------------------|
 326. |  326    .5654903    1.725741 |
 327. |  327   -1.696874    1.038443 |
 328. |  328    .8299658    1.261907 |
 329. |  329     .701256    1.217016 |
 330. |  330   -.3538171    .8157837 |
      |------------------------------|
 331. |  331     .241815    .5125682 |
 332. |  332    .2797004   -1.190176 |
 333. |  333     -.04498   -1.089434 |
 334. |  334   -.4064309   -.3267845 |
 335. |  335   -.0289903    .7161922 |
      |------------------------------|
 336. |  336    1.350463   -.4490338 |
 337. |  337   -.7762255    .1907376 |
 338. |  338    .5828066    .0640295 |
 339. |  339     1.62613   -.6744307 |
 340. |  340    -.029369    .2816354 |
      |------------------------------|
 341. |  341    .0227822     .072715 |
 342. |  342    .1956002   -.4722251 |
 343. |  343   -.3681657    3.505837 |
 344. |  344    .5442269    .1510461 |
 345. |  345   -1.112118    1.232423 |
      |------------------------------|
 346. |  346   -.0460626    .1613899 |
 347. |  347    .7610562   -.8614201 |
 348. |  348     .862316    1.219267 |
 349. |  349   -.1632559   -.7782053 |
 350. |  350    .6002812    .0895911 |
      |------------------------------|
 351. |  351    .2913818   -1.078072 |
 352. |  352   -.2208314    .8757166 |
 353. |  353   -.6876032    .5810788 |
 354. |  354    .3248861    .8590355 |
 355. |  355   -.4583946   -.9011219 |
      |------------------------------|
 356. |  356   -.9902801   -.4557163 |
 357. |  357   -1.180479   -.1685037 |
 358. |  358   -.2502932   -1.982461 |
 359. |  359   -1.576021    .5171715 |
 360. |  360    .1509138    .5325404 |
      |------------------------------|
 361. |  361    .2226478    -.148062 |
 362. |  362    .0922124    .9307413 |
 363. |  363    .1009297   -.2110068 |
 364. |  364    .1000848    .1159737 |
 365. |  365    .9398682    .2776888 |
      |------------------------------|
 366. |  366   -.2848455    .4417232 |
 367. |  367    2.136075   -.4811413 |
 368. |  368   -.0971287    2.179056 |
 369. |  369    .2448826   -1.316654 |
 370. |  370    .9815377     .579849 |
      |------------------------------|
 371. |  371   -.3102989   -.8010934 |
 372. |  372   -.7744201   -.8066674 |
 373. |  373     1.62172      2.2372 |
 374. |  374    .0506524   -.7015399 |
 375. |  375   -.0495846   -1.025958 |
      |------------------------------|
 376. |  376    .6207317   -1.198504 |
 377. |  377    .5656469    .7184578 |
 378. |  378   -1.410948   -.9918225 |
 379. |  379   -1.483447   -.2209498 |
 380. |  380    .1231526    .2841605 |
      |------------------------------|
 381. |  381    .1318701   -1.611762 |
 382. |  382   -.5513846    .8219659 |
 383. |  383    .3903461   -.5010396 |
 384. |  384    .7442589    1.759003 |
 385. |  385   -.7280818   -.5087284 |
      |------------------------------|
 386. |  386     .519384    .0695939 |
 387. |  387     1.04848   -.0981543 |
 388. |  388   -.1717771     1.10108 |
 389. |  389    .8468291    .5661494 |
 390. |  390   -.6588629    .0578643 |
      |------------------------------|
 391. |  391   -.0120603     1.38896 |
 392. |  392   -.2273209    .0533034 |
 393. |  393    .3843958   -2.105015 |
 394. |  394    .6578931   -1.201083 |
 395. |  395   -.3998818   -.9835567 |
      |------------------------------|
 396. |  396   -.0570558   -.8087658 |
 397. |  397    -.071301    2.097512 |
 398. |  398   -1.346596   -.5108025 |
 399. |  399   -1.613799   -.8780295 |
 400. |  400    .0046465    1.425032 |
      |------------------------------|
 401. |  401    .1917665   -.6485975 |
 402. |  402   -.0458702    -2.15481 |
 403. |  403    .2232178   -.1119644 |
 404. |  404     .511095    .8298692 |
 405. |  405    1.892978   -1.147977 |
      |------------------------------|
 406. |  406    1.330781   -.4206685 |
 407. |  407    .5322794   -.3013825 |
 408. |  408    .4609152    .1208686 |
 409. |  409    1.700138    .1323965 |
 410. |  410   -.1463113    .9577685 |
      |------------------------------|
 411. |  411     .041096   -.5592049 |
 412. |  412   -1.070596    2.442055 |
 413. |  413   -.1749803    -.018249 |
 414. |  414    1.925369    .9752202 |
 415. |  415   -2.768309   -.6738965 |
      |------------------------------|
 416. |  416    1.579867   -.1411231 |
 417. |  417   -.8728904    1.303574 |
 418. |  418   -.0419233    .0787058 |
 419. |  419    .3404389   -.2937443 |
 420. |  420    1.875566    .1918537 |
      |------------------------------|
 421. |  421    -1.14402    .9172988 |
 422. |  422    1.617397    .5791395 |
 423. |  423   -.7513171    .4545434 |
 424. |  424    .4208706    .7033572 |
 425. |  425    .6919503     1.41063 |
      |------------------------------|
 426. |  426   -.7335452    .3210162 |
 427. |  427    -1.14506   -.1716343 |
 428. |  428    .7130898   -1.410292 |
 429. |  429   -.7333998    1.751798 |
 430. |  430   -1.551649   -.6111275 |
      |------------------------------|
 431. |  431   -.7833778    1.072133 |
 432. |  432   -.7113577    .7154579 |
 433. |  433   -.0320987   -.7346662 |
 434. |  434   -1.292501   -.7803976 |
 435. |  435    .8745252    -.016901 |
      |------------------------------|
 436. |  436    .6459072   -.1996359 |
 437. |  437    .6087984    1.570297 |
 438. |  438   -.4677888   -.7706145 |
 439. |  439   -.9683754   -.0094751 |
 440. |  440    .1907486   -.1949206 |
      |------------------------------|
 441. |  441   -1.291247   -1.221319 |
 442. |  442    1.441978   -.5267275 |
 443. |  443   -.1446344   -1.042145 |
 444. |  444    .7115691   -1.438485 |
 445. |  445    1.077635    .3353509 |
      |------------------------------|
 446. |  446   -.8337385   -.5714992 |
 447. |  447    .3482048    1.255403 |
 448. |  448    1.092122   -.6278888 |
 449. |  449    .2512711    1.237873 |
 450. |  450   -.7102432    1.104032 |
      |------------------------------|
 451. |  451   -.1598949   -1.153169 |
 452. |  452    1.155921   -1.231918 |
 453. |  453   -1.420125    .2239007 |
 454. |  454    .0369669     .694037 |
 455. |  455     .467805   -1.690043 |
      |------------------------------|
 456. |  456   -1.488773     2.14673 |
 457. |  457    .1803309   -.8663389 |
 458. |  458   -.1887162   -.5277783 |
 459. |  459   -.8455482    .5665188 |
 460. |  460    1.726927    .7824624 |
      |------------------------------|
 461. |  461   -.5979623   -.5983933 |
 462. |  462   -.0028362    1.690312 |
 463. |  463    1.035826     .442428 |
 464. |  464    .2362906    1.399713 |
 465. |  465    .6060732   -2.253781 |
      |------------------------------|
 466. |  466    1.282696   -.2686042 |
 467. |  467   -.2500401     .620501 |
 468. |  468   -.4827638   -.4753443 |
 469. |  469   -1.482909    .8053649 |
 470. |  470   -1.189311   -2.520789 |
      |------------------------------|
 471. |  471    .2256928    .1252885 |
 472. |  472   -.6726233    .0416771 |
 473. |  473    .3647718    1.123832 |
 474. |  474    .3800467   -.4273021 |
 475. |  475   -1.322664   -1.745766 |
      |------------------------------|
 476. |  476   -1.201436   -.5710816 |
 477. |  477    .8153715   -.1983757 |
 478. |  478   -.4724619    -1.51037 |
 479. |  479    .0444295   -1.198999 |
 480. |  480   -1.098764    .9524612 |
      |------------------------------|
 481. |  481   -.0973542   -.4997566 |
 482. |  482    .0986088   -.0949084 |
 483. |  483    .9700507    .0309643 |
 484. |  484   -.5922835    .4059812 |
 485. |  485    .3964604   -.5768764 |
      |------------------------------|
 486. |  486   -.3023429   -2.016348 |
 487. |  487    .2358694     .111598 |
 488. |  488   -1.593387   -.0054697 |
 489. |  489   -.0343975   -1.561734 |
 490. |  490   -.1058547   -.2955433 |
      |------------------------------|
 491. |  491   -.5335519   -1.018157 |
 492. |  492    1.496105    .4838534 |
 493. |  493    .4262308     1.34689 |
 494. |  494   -.1862901    -.720212 |
 495. |  495   -.5590256   -.4281703 |
      |------------------------------|
 496. |  496    .6652241   -.7471914 |
 497. |  497   -.4265276   -.3873619 |
 498. |  498   -.8521944    .3136004 |
 499. |  499   -.0752461   -.4545545 |
 500. |  500    .5037636    .3765917 |
      |------------------------------|
 501. |  501   -1.602581    .3545865 |
 502. |  502     .530975    .4771657 |
 503. |  503   -.8250917    .5656549 |
 504. |  504   -.1008031    .9170926 |
 505. |  505   -.8706823   -1.156971 |
      |------------------------------|
 506. |  506   -1.169562   -.4617867 |
 507. |  507    1.580429    .7099723 |
 508. |  508   -.5756249    .5161874 |
 509. |  509    .2149267    .2625242 |
 510. |  510    .4020103   -.3716824 |
      |------------------------------|
 511. |  511      1.7752    1.854985 |
 512. |  512    .1517798    .4100761 |
 513. |  513    .4848253   -1.558541 |
 514. |  514   -1.843683    .7158324 |
 515. |  515    .7137244    .3225824 |
      |------------------------------|
 516. |  516    .1389892    -.818722 |
 517. |  517   -.2488664   -.0180754 |
 518. |  518   -1.048541    .2023324 |
 519. |  519   -1.435664   -.9010772 |
 520. |  520   -.6860662    .7428173 |
      |------------------------------|
 521. |  521   -.0431422    .0244406 |
 522. |  522   -.0554156    -1.31077 |
 523. |  523   -.7208099   -1.181938 |
 524. |  524   -.4683639   -.2121873 |
 525. |  525    .3813822     .587886 |
      |------------------------------|
 526. |  526    .2117624   -.4522677 |
 527. |  527    .9898331    .2922192 |
 528. |  528    .6130861   -.5568933 |
 529. |  529   -.5112404    .1243263 |
 530. |  530    1.540761   -.2341594 |
      |------------------------------|
 531. |  531     .857437   -1.019614 |
 532. |  532   -.8644966    .7781857 |
 533. |  533   -.2284393    .6945306 |
 534. |  534   -1.618661    .6360274 |
 535. |  535    1.054548    1.626276 |
      |------------------------------|
 536. |  536   -.0501279    1.497194 |
 537. |  537    .6769754   -1.342019 |
 538. |  538    -2.57569   -.2593494 |
 539. |  539    .0773947    -1.43975 |
 540. |  540      .62124   -.2904743 |
      |------------------------------|
 541. |  541   -.4939545    1.469226 |
 542. |  542    .5382717   -.4914165 |
 543. |  543   -1.294923   -2.154506 |
 544. |  544    1.887261    .0887273 |
 545. |  545     .726882   -.9568977 |
      |------------------------------|
 546. |  546    1.005938   -.5197895 |
 547. |  547    1.518114    .7686377 |
 548. |  548    -1.54074   -.7883844 |
 549. |  549   -1.288454   -.8519858 |
 550. |  550    1.233295    1.158169 |
      |------------------------------|
 551. |  551   -1.451554    .2664587 |
 552. |  552   -.2324717   -.3619763 |
 553. |  553   -.3137747    .3517952 |
 554. |  554    -.948832   -.1257229 |
 555. |  555    .0075388    .3256125 |
      |------------------------------|
 556. |  556    .1701841    .3884082 |
 557. |  557    .8427689    .0841458 |
 558. |  558    1.498702   -.4736601 |
 559. |  559   -.2832655    .2256966 |
 560. |  560   -.1474013     1.33072 |
      |------------------------------|
 561. |  561   -2.300458   -.3438255 |
 562. |  562    .7890605    .4350733 |
 563. |  563   -.0901579   -1.891788 |
 564. |  564    1.337788   -.4714466 |
 565. |  565   -.6666995   -.2777154 |
      |------------------------------|
 566. |  566    .0974492   -.5609131 |
 567. |  567   -.8869191     .904647 |
 568. |  568   -1.333156   -.9581941 |
 569. |  569   -.3424672   -2.377247 |
 570. |  570   -1.557153   -.4551582 |
      |------------------------------|
 571. |  571    1.255115    .3559428 |
 572. |  572    1.601728     .871762 |
 573. |  573   -.1329453   -1.027507 |
 574. |  574    1.338017    -1.11757 |
 575. |  575    -.166749     1.24726 |
      |------------------------------|
 576. |  576    .8968455   -1.252618 |
 577. |  577    .7490819    .4586425 |
 578. |  578    .0808164    .1915374 |
 579. |  579    .1506723   -.6201474 |
 580. |  580   -1.072407   -.1131451 |
      |------------------------------|
 581. |  581    .4078404    .7492672 |
 582. |  582   -2.045994    .5312732 |
 583. |  583   -1.552916     1.29431 |
 584. |  584   -.6020256   -.4167605 |
 585. |  585    .0378946    1.079527 |
      |------------------------------|
 586. |  586   -1.277793   -.9066572 |
 587. |  587    -.870465    1.228286 |
 588. |  588   -.1999673   -.3495465 |
 589. |  589     .466339    .5203885 |
 590. |  590    .1532419   -.6781338 |
      |------------------------------|
 591. |  591    .9396062    .2108697 |
 592. |  592     .804072    1.144388 |
 593. |  593    .9597554   -.8097307 |
 594. |  594    1.427121   -.5956936 |
 595. |  595   -.7371572     .309292 |
      |------------------------------|
 596. |  596     1.35454     .612282 |
 597. |  597     1.16308    .0373919 |
 598. |  598    1.325337   -.5434939 |
 599. |  599    1.625208   -1.098218 |
 600. |  600   -.3579479    .6025589 |
      |------------------------------|
 601. |  601    .1162236    1.628246 |
 602. |  602   -1.091926    .6729632 |
 603. |  603   -.8781271   -.6438228 |
 604. |  604   -.0343665    1.352558 |
 605. |  605    1.199268    .6053075 |
      |------------------------------|
 606. |  606   -.4884108   -.7924582 |
 607. |  607   -1.475732    -.737809 |
 608. |  608   -.2122186    .0330787 |
 609. |  609    .9077238   -.4184532 |
 610. |  610    .5510911    .7453375 |
      |------------------------------|
 611. |  611   -.0858719   -.8617087 |
 612. |  612    .8055696   -.3114953 |
 613. |  613   -1.238953   -.4760626 |
 614. |  614   -2.675363    .2907084 |
 615. |  615    .6053939   -.8939527 |
      |------------------------------|
 616. |  616    .5517752    1.518011 |
 617. |  617    .3738864   -.6412455 |
 618. |  618    1.433915    .1924423 |
 619. |  619   -.6692179    1.295739 |
 620. |  620    .2128516    .2092829 |
      |------------------------------|
 621. |  621   -1.094851   -.0783994 |
 622. |  622    .6047438    .9522904 |
 623. |  623   -1.740973     .946663 |
 624. |  624   -1.297879    .3689233 |
 625. |  625   -.7411873    2.277471 |
      |------------------------------|
 626. |  626   -.9046167    .5302054 |
 627. |  627    2.234383    -.920186 |
 628. |  628    .9118711    1.970179 |
 629. |  629    -.845832    .3067871 |
 630. |  630    .1932364   -1.299056 |
      |------------------------------|
 631. |  631   -.1061419    .1934047 |
 632. |  632   -.9087975    .9153114 |
 633. |  633    .5524926   -.8769392 |
 634. |  634     .291903    .2273201 |
 635. |  635     .853697    .7831572 |
      |------------------------------|
 636. |  636   -.0176941     1.86219 |
 637. |  637   -.5218471    .0782855 |
 638. |  638   -.6103472    -.116073 |
 639. |  639    .7470587    1.437687 |
 640. |  640    .2737722    1.445451 |
      |------------------------------|
 641. |  641    .3182037    1.284296 |
 642. |  642    .4343857   -1.166508 |
 643. |  643    .8807989   -2.004627 |
